#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SensorDataService","Sensor Data Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SensorService","Sensor Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SessionEnv","Remote Desktop Configuration","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SgrmBroker","System Guard Runtime Monitor Broker","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SNMPTRAP","SNMP Trap","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Spooler","Print Spooler","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"sppsvc","Software Protection","Stopped","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SSDPSRV","SSDP Discovery","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"StateRepository","State Repository Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"stisvc","Windows Image Acquisition (WIA)","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"StorSvc","Storage Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"svsvc","Spot Verifier","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SysMain","SysMain","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SystemEventsBroker","System Events Broker","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"tapisrv","Telephony","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TermService","Remote Desktop Services","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Themes","Themes","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TimeBrokerSvc","Time Broker","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TokenBroker","Web Account Manager","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TrkWks","Distributed Link Tracking Client","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"UALSVC","User Access Logging Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"upnphost","UPnP Device Host","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"UserManager","User Manager","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"UsoSvc","Update Orchestrator Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"VaultSvc","Credential Manager","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vds","Virtual Disk","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmicheartbeat","Hyper-V Heartbeat Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmickvpexchange","Hyper-V Data Exchange Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmicshutdown","Hyper-V Guest Shutdown Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmictimesync","Hyper-V Time Synchronization Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"VSS","Volume Shadow Copy","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"W32Time","Windows Time","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"w3logsvc","W3C Logging Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"W3SVC","World Wide Web Publishing Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WaaSMedicSvc","Windows Update Medic Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WalletService","WalletService","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WarpJITSvc","WarpJITSvc","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WAS","Windows Process Activation Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WbioSrvc","Windows Biometric Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Wcmsvc","Windows Connection Manager","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WdNisSvc","Windows Defender Antivirus Network Inspection Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Wecsvc","Windows Event Collector","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"wercplsupport","Problem Reports and Solutions Control Panel Support","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WIDWriter","Windows Internal Database VSS Writer","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WinDefend","Windows Defender Antivirus Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Winmgmt","Windows Management Instrumentation","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WinRM","Windows Remote Management (WS-Management)","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"wisvc","Windows Insider Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WLMS","Windows Licensing Monitoring Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WpnService","Windows Push Notifications System Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WSearch","Windows Search","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WSusCertServer","WSUS Certificate Server","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"WsusService","WSUS Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"wuauserv","Windows Update","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
