#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"mpssvc","Windows Defender Firewall","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"msiserver","Windows Installer","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"MsKeyboardFilter","Microsoft Keyboard Filter","Stopped","Disabled","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NcbService","Network Connection Broker","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Netlogon","Netlogon","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Netman","Network Connections","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"netprofm","Network List Service","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NetSetupSvc","Network Setup Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NgcSvc","Microsoft Passport","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"NlaSvc","Network Location Awareness","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"nsi","Network Store Interface Service","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"p2pimsvc","Peer Networking Identity Manager","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"p2psvc","Peer Networking Grouping","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PcaSvc","Program Compatibility Assistant Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PeerDistSvc","BranchCache","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PhoneSvc","Phone Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"pla","Performance Logs & Alerts","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PlugPlay","Plug and Play","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PNRPsvc","Peer Name Resolution Protocol","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Power","Power","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"ProfSvc","User Profile Service","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RasMan","Remote Access Connection Manager","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RemoteRegistry","Remote Registry","Stopped","Disabled","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RetailDemo","Retail Demo Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RmSvc","Radio Management Service","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SamSs","Security Accounts Manager","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SCardSvr","Smart Card","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Schedule","Task Scheduler","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SDRSVC","Windows Backup","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"seclogon","Secondary Logon","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SecurityHealthService","Windows Security Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SENS","System Event Notification Service","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SensorDataService","Sensor Data Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SensorService","Sensor Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SessionEnv","Remote Desktop Configuration","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SgrmBroker","System Guard Runtime Monitor Broker","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"SharedRealitySvc","Spatial Data Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
